andere-osintegration,other OS/integration
android,Android
apple-ios,Apple iOS
blackberry,Blackberry 
chrome-erweiterung,Chrome extension
dd-wrt,DD-WRT
firefox-erweiterung,Firefox extension
firetv,Fire TV
kodi-addon,KODI Add-on
linux,Linux
macosx,Mac OS X
openwrt,OpenWrt
opera-erweiterung,Opera extension
tomato,Tomato
windows,Windows
windows-phone,Windows Phone
