slug,name
andere-osintegration,"Andere OS/Integration"
android,Android
apple-ios,"Apple iOS"
blackberry,Blackberry
chrome-erweiterung,"Chrome Erweiterung"
dd-wrt,DD-WRT
firefox-erweiterung,"Firefox Erweiterung"
firetv,FireTV
kodi-addon,"KODI AddOn"
linux,Linux
macosx,"Mac OSX"
openwrt,OpenWRT
opera-erweiterung,"Opera Erweiterung"
tomato,Tomato
windows,Windows
windows-phone,"Windows Phone"
