slug,name
andere-osintegration,Другие ОС
android,Android
apple-ios,Apple iOS
blackberry,Blackberry 
chrome-erweiterung,Расширение для Chrome
dd-wrt,DD-WRT
firefox-erweiterung,Расширение для Firefox
firetv,Fire ТВ
kodi-addon,KODI Add-on
linux,Linux
macosx,Mac OS X
openwrt,OpenWrt
opera-erweiterung,Расширение для Opera
tomato,Tomato
windows,Windows
windows-phone,Windows Phone
